threshold	mode	depth	label	n_samples	n_subjects	high_cal_samples	lower_cal_samples	n_high_label	n_lower_label	n_high_other	n_lower_other	or_value	ci_low	ci_high	p_value	q_value	mode_key	label_col
250	Rebuilt	2	Bacteroides dorei__Faecalibacterium prausnitzii	202	49	103	99	18	16	85	83	1.09801840898935	0.491405423052103	2.47223265356089	0.852267511855682	0.852267511855682	rebuilt	depth2_absorb
100	Rebuilt	3	Bacteroides dorei__Bacteroides ovatus	202	49	144	58	25	3	119	55	3.83162988422528	1.09762429930821	20.6609543049624	0.0242458764727627	0.218212888254864	rebuilt	depth3_absorb
100	Rebuilt	3	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	202	49	144	58	21	13	123	45	0.592673665735729	0.257706500950803	1.40239049330691	0.212702706686941	0.697276916646003	rebuilt	depth3_absorb
100	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	144	58	8	6	136	52	0.511676797142714	0.147446473040201	1.88082755648422	0.232425638882001	0.697276916646003	rebuilt	depth3_absorb
100	Rebuilt	3	Bacteroides dorei__Bifidobacterium breve	202	49	144	58	13	7	131	51	0.724228381681648	0.251208202048079	2.27163432044077	0.603056647899144	1	rebuilt	depth3_absorb
100	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	144	58	11	3	133	55	1.51341884142756	0.379663083617484	8.76900597819395	0.761027923079177	1	rebuilt	depth3_absorb
100	Rebuilt	3	Bacteroides dorei__Bacteroides uniformis	202	49	144	58	23	8	121	50	1.1870633612731	0.472433838480675	3.28233878924858	0.830301568552635	1	rebuilt	depth3_absorb
100	Rebuilt	3	Bacteroides dorei__Escherichia-Shigella coli	202	49	144	58	28	12	116	46	0.925648660648122	0.41293636340692	2.17626574769352	0.846894135975979	1	rebuilt	depth3_absorb
100	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	144	58	11	4	133	54	1.11594044317446	0.312945911567812	5.01688259085	1	1	rebuilt	depth3_absorb
100	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	144	58	4	2	140	56	0.800894661401886	0.111155929253676	9.08639762390252	1	1	rebuilt	depth3_absorb
150	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	132	70	6	8	126	62	0.371034410581242	0.101360061736284	1.27973694405507	0.0828702104558305	0.614480912312956	rebuilt	depth3_absorb
150	Rebuilt	3	Bacteroides dorei__Bacteroides ovatus	202	49	132	70	22	6	110	64	2.12608004595915	0.782430024164332	6.75361127697099	0.136551313847323	0.614480912312956	rebuilt	depth3_absorb
150	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	132	70	11	3	121	67	2.02396927666757	0.510422034621766	11.6880318268696	0.38745467521774	0.775524149930234	rebuilt	depth3_absorb
150	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	132	70	3	3	129	67	0.521167151077195	0.0679049469545123	3.99802360914481	0.419355735061894	0.775524149930234	rebuilt	depth3_absorb
150	Rebuilt	3	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	202	49	132	70	20	14	112	56	0.715546715177937	0.316280657072014	1.6540519916335	0.430846749961241	0.775524149930234	rebuilt	depth3_absorb
