component	taxonomic_rank	taxonomy
[Eubacterium] eligens group eligens	unresolved	[Eubacterium] eligens group eligens
Alistipes sp.	unresolved	Alistipes sp.
Segatella sp.	unresolved	Segatella sp.
Bacteroides dorei	unresolved	Bacteroides dorei
