label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Segatella sp.	28	11	17	133	77	0.320100878636522	0.126912613454306	0.776478762117566	0.00610606442448993	0.0635630692725987	AGP transfer	1	cd_location
Lachnospiraceae fam.	11	11	0	133	77	Inf	1.52505169599888	Inf	0.00794538365907484	0.0635630692725987	AGP transfer	1	cd_location
Bacteroides ovatus	15	14	1	133	77	8.88207479368344	1.30025135640725	382.308071986466	0.0114974113977206	0.0689844683863238	AGP transfer	1	cd_location
Bacteroides fragilis	14	13	1	133	77	8.18038633693915	1.18305376530841	353.87220800603	0.019722884306093	0.0946698446692462	AGP transfer	1	cd_location
Bacteroides eggerthii	3	0	3	133	77	0	0	1.38482598978272	0.0480769230769231	0.192307692307692	AGP transfer	1	cd_location
Clostridia UCG-014 ord.	2	0	2	133	77	0	0	3.06890576641016	0.133333333333333	0.457142857142857	AGP transfer	1	cd_location
Agathobacter faecis	3	3	0	133	77	Inf	0.239362691556628	Inf	0.3	0.733333333333333	AGP transfer	1	cd_location
Akkermansia muciniphila	3	3	0	133	77	Inf	0.239362691556628	Inf	0.3	0.733333333333333	AGP transfer	1	cd_location
UCG-002 sp.	5	2	3	133	77	0.378449186637823	0.030948412883387	3.38161178390624	0.358583357686355	0.733333333333333	AGP transfer	1	cd_location
Christensenellaceae R-7 group sp.	1	0	1	133	77	0	0	22.5790500437779	0.366666666666667	0.733333333333333	AGP transfer	1	cd_location
Gemmiger sp.	1	0	1	133	77	0	0	22.5790500437779	0.366666666666667	0.733333333333333	AGP transfer	1	cd_location
Bifidobacterium breve	21	15	6	133	77	1.50145594312248	0.520718469585743	4.94610367308482	0.481953311685893	0.853333333333334	AGP transfer	1	cd_location
Parabacteroides distasonis	2	2	0	133	77	Inf	0.10860920671777	Inf	0.533333333333333	0.853333333333334	AGP transfer	1	cd_location
Prevotellaceae fam.	2	2	0	133	77	Inf	0.10860920671777	Inf	0.533333333333333	0.853333333333334	AGP transfer	1	cd_location
[Eubacterium] coprostanoligenes group fam.	5	4	1	133	77	2.34833059558327	0.226940883967719	117.495943463606	0.654271880738744	0.981407821108117	AGP transfer	1	cd_location
Blautia sp.	10	7	3	133	77	1.3684030942306	0.301013458311337	8.44690006431568	0.749064260254661	1	AGP transfer	1	cd_location
Bacteroides dorei	53	34	19	133	77	1.0481539092122	0.525256302711128	2.13420571071798	1	1	AGP transfer	1	cd_location
Alistipes onderdonkii	1	1	0	133	77	Inf	0.0148601973684211	Inf	1	1	AGP transfer	1	cd_location
Bacteroides caccae	1	1	0	133	77	Inf	0.0148601973684211	Inf	1	1	AGP transfer	1	cd_location
Enterococcus faecium	1	1	0	133	77	Inf	0.0148601973684211	Inf	1	1	AGP transfer	1	cd_location
Bacteroides sp.	3	2	1	133	77	1.15952961172859	0.059441723391538	69.317283449583	1	1	AGP transfer	1	cd_location
CAG-352 bromii	2	1	1	133	77	0.577378444422559	0.00728836534390556	45.784227785623	1	1	AGP transfer	1	cd_location
Gemmiger formicilis	3	2	1	133	77	1.15952961172859	0.059441723391538	69.317283449583	1	1	AGP transfer	1	cd_location
Bacteroides ovatus__Bacteroides dorei	11	11	0	129	77	Inf	1.57569507856306	Inf	0.00764942000492187	0.29731318348162	AGP transfer	2	cd_location
Segatella sp.__Faecalibacterium prausnitzii	9	2	7	129	77	0.158909605365141	0.0156884616915982	0.864586569023187	0.0147406481951508	0.29731318348162	AGP transfer	2	cd_location
Bifidobacterium breve__Bacteroides dorei	14	13	1	129	77	8.46042135037641	1.22295001671657	366.050978180187	0.0192430789129446	0.29731318348162	AGP transfer	2	cd_location
Faecalibacterium prausnitzii__Bacteroides dorei	11	3	8	129	77	0.207005389297592	0.034251052916713	0.897710563516358	0.0212366559629729	0.29731318348162	AGP transfer	2	cd_location
Lachnospiraceae fam.__Faecalibacterium prausnitzii	9	9	0	129	77	Inf	1.22095506937491	Inf	0.028030280975154	0.313939146921724	AGP transfer	2	cd_location
Bacteroides dorei__Blautia sp.	3	0	3	129	77	0	0	1.42794728027309	0.0509464974718279	0.314829301784167	AGP transfer	2	cd_location
Bacteroides eggerthii__Bacteroides dorei	3	0	3	129	77	0	0	1.42794728027309	0.0509464974718279	0.314829301784167	AGP transfer	2	cd_location
Segatella sp.__Prevotellaceae fam.	3	0	3	129	77	0	0	1.42794728027309	0.0509464974718279	0.314829301784167	AGP transfer	2	cd_location
Bacteroides dorei__Bacteroides ovatus	15	13	2	129	77	4.17959745015961	0.906706259525868	39.1984804390121	0.0537110920855253	0.314829301784167	AGP transfer	2	cd_location
Bacteroides fragilis__Bacteroides dorei	11	10	1	129	77	6.34588305072258	0.871464843113335	280.400967325575	0.0562195181757441	0.314829301784167	AGP transfer	2	cd_location
Bifidobacterium breve__Faecalibacterium prausnitzii	7	2	5	129	77	0.228466296947458	0.0212456957205436	1.43857075482119	0.105071593070946	0.517344699660589	AGP transfer	2	cd_location
Bacteroides dorei__Bacteroides sartorii	2	0	2	129	77	0	0	3.1644180494138	0.138574473123372	0.517344699660589	AGP transfer	2	cd_location
Bacteroides dorei__Bacteroides sp.	2	0	2	129	77	0	0	3.1644180494138	0.138574473123372	0.517344699660589	AGP transfer	2	cd_location
Clostridia UCG-014 ord.__Bacteroides dorei	2	0	2	129	77	0	0	3.1644180494138	0.138574473123372	0.517344699660589	AGP transfer	2	cd_location
Faecalibacterium prausnitzii__Bacteroides ovatus	2	0	2	129	77	0	0	3.1644180494138	0.138574473123372	0.517344699660589	AGP transfer	2	cd_location
Bacteroides dorei__Parabacteroides distasonis	3	3	0	129	77	Inf	0.246861672899778	Inf	0.294364196069145	0.675227059191983	AGP transfer	2	cd_location
Bacteroides ovatus__Bacteroides fragilis	3	3	0	129	77	Inf	0.246861672899778	Inf	0.294364196069145	0.675227059191983	AGP transfer	2	cd_location
Bacteroides dorei__Faecalibacterium prausnitzii	9	4	5	129	77	0.462624805417617	0.0888306318940891	2.22487425361122	0.298948757697959	0.675227059191983	AGP transfer	2	cd_location
Bacteroides dorei__Paraprevotella sp.	4	4	0	129	77	Inf	0.395882511569156	Inf	0.299157948431726	0.675227059191983	AGP transfer	2	cd_location
UCG-002 sp.__Bacteroides dorei	5	2	3	129	77	0.390331303472315	0.0319223579705173	3.48880747868583	0.364654043777231	0.675227059191983	AGP transfer	2	cd_location
Bacteroides dorei__Agathobacter faecis	1	0	1	129	77	0	0	23.27918260713	0.37378640776699	0.675227059191983	AGP transfer	2	cd_location
Bacteroides dorei__Clostridia UCG-014 ord.	1	0	1	129	77	0	0	23.27918260713	0.37378640776699	0.675227059191983	AGP transfer	2	cd_location
