label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Bacteroides dorei__Bacteroides uniformis__Bacteroides ovatus	38	19	19	120	173	1.52246028584824	0.723665113554747	3.20483518858378	0.288602656996451	0.408853764078306	Rebuilt	4	uc_extent
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides uniformis__UCG-002 sp.	28	9	19	120	173	0.658092276426162	0.252281701549946	1.59511611872968	0.419612298498085	0.548723774959035	Rebuilt	4	uc_extent
Bacteroides dorei__Bacteroides uniformis__Faecalibacterium prausnitzii	20	7	13	120	173	0.76311291487539	0.249529775991976	2.13554491782317	0.643778970395612	0.781731606908957	Rebuilt	4	uc_extent
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides uniformis__Bifidobacterium breve	25	11	14	120	173	1.14559169201515	0.452229493043341	2.83257753084975	0.832431666152073	0.889773312591456	Rebuilt	4	uc_extent
Bacteroides dorei__Bacteroides stercoris__Bacteroides uniformis__Faecalibacterium prausnitzii	26	10	16	120	173	0.892417445342086	0.348061798997882	2.18293468465317	0.837433705968429	0.889773312591456	Rebuilt	4	uc_extent
Bacteroides dorei__Agathobacter faecis__Faecalibacterium prausnitzii	33	13	20	120	173	0.929652732619057	0.40605681905125	2.06251258157478	1	1	Rebuilt	4	uc_extent
Faecalibacterium prausnitzii	35	22	13	120	173	2.75300848318989	1.26041205832551	6.24190053933241	0.00601081649067357	0.186335311210881	AGP transfer	1	uc_extent
Bacteroides dorei	107	36	71	120	173	0.616718223041432	0.363159973071124	1.03690611439518	0.0642108197291768	0.65678551463533	AGP transfer	1	uc_extent
Bacteroides sartorii	3	3	0	120	173	Inf	0.599784817283204	Inf	0.0676809979886569	0.65678551463533	AGP transfer	1	uc_extent
Akkermansia sp.	6	0	6	120	173	0	0	1.20858899657047	0.084746518017462	0.65678551463533	AGP transfer	1	uc_extent
Agathobacter faecis	18	4	14	120	173	0.392748875446032	0.0917429020990879	1.29315568691352	0.136681135237734	0.739164991350694	AGP transfer	1	uc_extent
Blautia sp.	4	0	4	120	173	0	0	2.17376928740279	0.147111659087267	0.739164991350694	AGP transfer	1	uc_extent
