analysis	analysis_title	medication_field	mode	depth	positive_samples	negative_samples	top_label	n_positive_in_label	n_negative_in_label	or	ci_low	ci_high	p_value	q_value	bayes_or	bayes_lo	bayes_hi
steroid_negative_cd_vs_healthy	Steroid-negative Gevers subset	steroids	Rebuilt	4	236	26	Blautia obeum__Bifidobacterium breve	15	5	0.287125981669753	0.0873550016796675	1.1102626216155	0.0354959230880414	0.463978862352764	0.279614755011717	0.0990336088886095	0.896914099651063
steroid_negative_cd_vs_healthy	Steroid-negative Gevers subset	steroids	AGP transfer	1	236	26	Segatella sp.	5	3	0.168013446945604	0.0303764652447367	1.15047690534073	0.0348584166663876	0.976035666658854	0.161236583156997	0.0381956126803533	0.799523897757663
steroid_negative_cd_vs_healthy	Steroid-negative Gevers subset	steroids	AGP transfer	2	207	26	Segatella sp.__Faecalibacterium prausnitzii	3	2	0.178782572437008	0.0194404868491339	2.23935643090394	0.0970855079274425	1	0.174679083741564	0.0310152654824225	1.19284073368318
steroid_negative_cd_vs_healthy	Steroid-negative Gevers subset	steroids	AGP transfer	3	191	24	Segatella sp.__Faecalibacterium prausnitzii__UCG-002 sp.	2	2	0.118670412274677	0.00821673438361915	1.71116542369543	0.0624392564372799	1	0.118294807291589	0.0157429996796426	0.880571091235337
steroid_negative_cd_vs_healthy	Steroid-negative Gevers subset	steroids	AGP transfer	4	190	24	Segatella sp.__Faecalibacterium prausnitzii__UCG-002 sp.	2	2	0.119297773550663	0.00826023331125128	1.72028661578229	0.06298186366694	1	0.119518365924058	0.0153569366019822	0.925569092182444
abx_positive_vs_negative_cd	Antibiotic-positive vs antibiotic-negative Crohn samples	antibiotics	Rebuilt	1	49	206	Blautia obeum	15	51	1.33924105540147	0.624879716715353	2.77210474564817	0.467959791238687	0.871397824855999	1.34046214295173	0.666391071305518	2.59600070557385
abx_positive_vs_negative_cd	Antibiotic-positive vs antibiotic-negative Crohn samples	antibiotics	Rebuilt	2	49	206	Blautia obeum	15	51	1.33924105540147	0.624879716715353	2.77210474564817	0.467959791238687	0.726164854046666	1.34395851719663	0.674730736504715	2.63860022752631
abx_positive_vs_negative_cd	Antibiotic-positive vs antibiotic-negative Crohn samples	antibiotics	Rebuilt	3	49	206	Faecalibacterium prausnitzii__Bacteroides vulgatus__Bacteroides fragilis	0	13	0	0	1.34924199351295	0.0796328406959715	0.876755295238273	0.0668337331266948	0.000131209592033295	0.824929326416435
abx_positive_vs_negative_cd	Antibiotic-positive vs antibiotic-negative Crohn samples	antibiotics	Rebuilt	4	49	206	Faecalibacterium prausnitzii__Bacteroides vulgatus__Bacteroides fragilis	0	13	0	0	1.34924199351295	0.0796328406959715	0.876755295238273	0.0694243914322514	0.00013048523186342	0.844353849259712
abx_positive_vs_negative_cd	Antibiotic-positive vs antibiotic-negative Crohn samples	antibiotics	AGP transfer	1	49	206	Enterococcus faecium	11	13	4.26424901820023	1.60057480917148	11.2149447297562	0.00159326511043096	0.0462046882024978	4.28616192928487	1.76922162777851	10.0449040225992
abx_positive_vs_negative_cd	Antibiotic-positive vs antibiotic-negative Crohn samples	antibiotics	AGP transfer	2	34	189	Enterococcus faecium	11	13	6.39061360355357	2.30563237063002	17.6177430312171	0.000134162765493662	0.00509818508875915	6.49495553528682	2.59925255892582	16.0254733300676
abx_positive_vs_negative_cd	Antibiotic-positive vs antibiotic-negative Crohn samples	antibiotics	AGP transfer	3	32	174	Enterococcus faecium	11	13	6.39648038486395	2.28436541388939	17.8546717778002	0.000148910473419672	0.00610532941020656	6.52393264108871	2.60393627818876	16.3915454976324
abx_positive_vs_negative_cd	Antibiotic-positive vs antibiotic-negative Crohn samples	antibiotics	AGP transfer	4	32	173	Enterococcus faecium	11	13	6.35708657698956	2.27000208135652	17.7457838366576	0.000156102532013271	0.00624410128053086	6.41378963889981	2.5632221598227	16.2048300119419
mesalamine_positive_vs_negative_cd	Mesalamine-positive vs mesalamine-negative Crohn samples	mesalamine	Rebuilt	1	31	224	Blautia obeum	10	56	1.42644646868551	0.56414601428534	3.39712288452646	0.387413865099836	0.850408097915377	1.43211250453212	0.61755023701677	3.14779583388789
mesalamine_positive_vs_negative_cd	Mesalamine-positive vs mesalamine-negative Crohn samples	mesalamine	Rebuilt	2	31	224	Faecalibacterium prausnitzii__Segatella sp.	4	9	3.51336642332951	0.739951882239219	13.6909927464962	0.0583663780474062	0.291831890237031	3.59851542077542	0.992855789577187	11.5882321829465
mesalamine_positive_vs_negative_cd	Mesalamine-positive vs mesalamine-negative Crohn samples	mesalamine	Rebuilt	3	31	224	Bacteroides vulgatus__[Ruminococcus] gnavus group gnavus	4	9	3.51336642332951	0.739951882239219	13.6909927464962	0.0583663780474062	0.554480591450359	3.61973359488156	0.988602001514288	11.6729027568338
mesalamine_positive_vs_negative_cd	Mesalamine-positive vs mesalamine-negative Crohn samples	mesalamine	Rebuilt	4	31	224	Bacteroides vulgatus__[Ruminococcus] gnavus group gnavus	4	9	3.51336642332951	0.739951882239219	13.6909927464962	0.0583663780474062	0.554480591450359	3.61120571197176	0.972162732619889	11.821974576994
mesalamine_positive_vs_negative_cd	Mesalamine-positive vs mesalamine-negative Crohn samples	mesalamine	AGP transfer	1	31	224	Gemmiger sp.	4	5	6.40645672235646	1.19654583763531	31.8186384677299	0.0147041003903833	0.423156240843695	6.49815621904749	1.57039216072998	25.0518844830051
mesalamine_positive_vs_negative_cd	Mesalamine-positive vs mesalamine-negative Crohn samples	mesalamine	AGP transfer	2	25	198	Gemmiger sp.	4	5	7.23224190347118	1.33005802510262	36.566681504074	0.0106615611914804	0.223964264496239	7.43124776881074	1.79739829641969	29.5882152064497
mesalamine_positive_vs_negative_cd	Mesalamine-positive vs mesalamine-negative Crohn samples	mesalamine	AGP transfer	3	23	183	Gemmiger sp.	4	5	7.3602006664581	1.34356040234282	37.5570795512185	0.0103502100395257	0.232212652554213	7.56178587892299	1.81802711411635	29.7938356282895
mesalamine_positive_vs_negative_cd	Mesalamine-positive vs mesalamine-negative Crohn samples	mesalamine	AGP transfer	4	23	182	Gemmiger sp.	4	5	7.31910426721098	1.33597652960943	37.3472606324196	0.0105337863523944	0.231332212154193	7.41595238778122	1.77694344430153	30.1494398655038
steroid_positive_vs_negative_cd	Steroid-positive vs steroid-negative Crohn samples	steroids	Rebuilt	1	19	236	Faecalibacterium prausnitzii	7	121	0.555676508129114	0.178756631777643	1.59382197954171	0.243762247047578	0.419014800697495	0.555808285045808	0.204571366952078	1.40715518490031
steroid_positive_vs_negative_cd	Steroid-positive vs steroid-negative Crohn samples	steroids	Rebuilt	2	19	236	Faecalibacterium prausnitzii__Dialister invisus	0	59	0	0	0.669941629486949	0.00895450097634033	0.0447725048817017	0.0356749880606651	7.04903867419394e-05	0.435518644676095
steroid_positive_vs_negative_cd	Steroid-positive vs steroid-negative Crohn samples	steroids	Rebuilt	3	19	236	Bacteroides vulgatus__[Ruminococcus] gnavus group gnavus	3	10	4.19725961435985	0.676174953797444	18.6440234097406	0.062350261794114	0.535451901313184	4.37224247895894	0.969227033297708	15.5548252440706
steroid_positive_vs_negative_cd	Steroid-positive vs steroid-negative Crohn samples	steroids	Rebuilt	4	19	236	Bacteroides vulgatus__[Ruminococcus] gnavus group gnavus	3	10	4.19725961435985	0.676174953797444	18.6440234097406	0.062350261794114	0.535451901313184	4.33183234553415	0.973506207366489	15.7424899036751
steroid_positive_vs_negative_cd	Steroid-positive vs steroid-negative Crohn samples	steroids	AGP transfer	1	19	236	Gemmiger sp.	3	6	7.07445905169673	1.04936914563162	37.0448504397907	0.022244362046445	0.640201749492809	7.47299018586308	1.54938816485931	30.6752115438345
steroid_positive_vs_negative_cd	Steroid-positive vs steroid-negative Crohn samples	steroids	AGP transfer	2	16	207	Faecalibacterium prausnitzii__Bifidobacterium breve	4	10	6.46145386512031	1.29087629400917	27.0510118379826	0.011560225941132	0.373314588052071	6.69803214826581	1.70488432691895	23.2499986748394
steroid_positive_vs_negative_cd	Steroid-positive vs steroid-negative Crohn samples	steroids	AGP transfer	3	15	191	Faecalibacterium prausnitzii__Bifidobacterium breve	4	10	6.46885000677593	1.27772838847436	27.548370071101	0.0119589780597735	0.415490081575129	6.68794364951627	1.70414631810439	23.976956897229
steroid_positive_vs_negative_cd	Steroid-positive vs steroid-negative Crohn samples	steroids	AGP transfer	4	15	190	Faecalibacterium prausnitzii__Bifidobacterium breve	4	10	6.43322630101918	1.27063188950397	27.4033242406566	0.0121676654550921	0.410778476806278	6.69074005356191	1.70912294028948	23.9437686006409
