label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Parabacteroides distasonis	2	0	2	103	99	0	0	5.1086887462477	0.238953746120881	0.657504556425792	AGP transfer	1	cd_calprotectin
Agathobacter faecis	3	3	0	103	99	Inf	0.399368479286597	Inf	0.246564208659672	0.657504556425792	AGP transfer	1	cd_calprotectin
Akkermansia muciniphila	3	3	0	103	99	Inf	0.399368479286597	Inf	0.246564208659672	0.657504556425792	AGP transfer	1	cd_calprotectin
Bacteroides ovatus	14	9	5	103	99	1.79487356474333	0.517187304891159	7.08250279649223	0.408335935929484	0.79633515590365	AGP transfer	1	cd_calprotectin
Faecalibacterium prausnitzii	18	11	7	103	99	1.56794780194067	0.527894895062556	4.99424786210766	0.461447657191913	0.79633515590365	AGP transfer	1	cd_calprotectin
Bacteroides caccae	1	0	1	103	99	0	0	37.4859242054981	0.49009900990099	0.79633515590365	AGP transfer	1	cd_calprotectin
Christensenellaceae R-7 group sp.	1	0	1	103	99	0	0	37.4859242054981	0.49009900990099	0.79633515590365	AGP transfer	1	cd_calprotectin
Gemmiger sp.	1	0	1	103	99	0	0	37.4859242054981	0.49009900990099	0.79633515590365	AGP transfer	1	cd_calprotectin
Prevotellaceae fam.	2	2	0	103	99	Inf	0.180764954373744	Inf	0.497709472439781	0.79633515590365	AGP transfer	1	cd_calprotectin
Bacteroides sp.	3	1	2	103	99	0.47718682832585	0.00798847280284269	9.30356459182561	0.615747746416433	0.904327608190205	AGP transfer	1	cd_calprotectin
Bifidobacterium breve	20	9	11	103	99	0.766972316482561	0.266968386116705	2.1465910676104	0.641594432960132	0.904327608190205	AGP transfer	1	cd_calprotectin
UCG-002 sp.	5	2	3	103	99	0.635085818894563	0.0520041698428202	5.66959585559862	0.678245706142654	0.904327608190205	AGP transfer	1	cd_calprotectin
Blautia sp.	10	6	4	103	99	1.46630401930139	0.335583759643732	7.29496981743532	0.748110124649518	0.944981210083601	AGP transfer	1	cd_calprotectin
Alistipes onderdonkii	1	1	0	103	99	Inf	0.0246448806979075	Inf	1	1	AGP transfer	1	cd_calprotectin
CAG-352 bromii	2	1	1	103	99	0.960962687102343	0.0121299221017221	76.135622902168	1	1	AGP transfer	1	cd_calprotectin
Clostridia UCG-014 ord.	2	1	1	103	99	0.960962687102343	0.0121299221017221	76.135622902168	1	1	AGP transfer	1	cd_calprotectin
Enterococcus faecium	1	1	0	103	99	Inf	0.0246448806979075	Inf	1	1	AGP transfer	1	cd_calprotectin
Gemmiger formicilis	3	2	1	103	99	1.93447009715063	0.0992202060237026	115.56116120938	1	1	AGP transfer	1	cd_calprotectin
Segatella sp.__Bacteroides dorei	10	1	9	102	96	0.0965906150723301	0.0021674252989782	0.720932317531637	0.00813698307113456	0.455671051983535	AGP transfer	2	cd_calprotectin
Lachnospiraceae fam.__Faecalibacterium prausnitzii	8	1	7	102	96	0.126951696703136	0.00277114000093175	1.01887474758652	0.0308784097642208	0.864595473398183	AGP transfer	2	cd_calprotectin
[Eubacterium] coprostanoligenes group fam.	5	5	0	102	96	Inf	0.878677832350272	Inf	0.0599200171353906	0.876547577481256	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus	15	11	4	102	96	2.76678343380699	0.783243731267316	12.358736452027	0.107010343443216	0.876547577481256	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Blautia sp.	3	0	3	102	96	0	0	2.26253449981212	0.112133455135631	0.876547577481256	AGP transfer	2	cd_calprotectin
Bacteroides eggerthii__Bacteroides dorei	3	0	3	102	96	0	0	2.26253449981212	0.112133455135631	0.876547577481256	AGP transfer	2	cd_calprotectin
Segatella sp.__Prevotellaceae fam.	3	0	3	102	96	0	0	2.26253449981212	0.112133455135631	0.876547577481256	AGP transfer	2	cd_calprotectin
Bacteroides fragilis__Bacteroides dorei	11	3	8	102	96	0.335090489997215	0.0555530336063489	1.45112046988359	0.125221082497322	0.876547577481256	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bacteroides sp.	2	0	2	102	96	0	0	5.00172379903527	0.233810183048762	1	AGP transfer	2	cd_calprotectin
Bacteroides fragilis__Faecalibacterium prausnitzii	2	0	2	102	96	0	0	5.00172379903527	0.233810183048762	1	AGP transfer	2	cd_calprotectin
Parabacteroides distasonis__Bacteroides dorei	2	0	2	102	96	0	0	5.00172379903527	0.233810183048762	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Faecalibacterium prausnitzii	9	3	6	102	96	0.45630701563172	0.0717488953933935	2.21139517249561	0.319975492267794	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Clostridia UCG-014 ord.	1	0	1	102	96	0	0	36.7063393576324	0.484848484848485	1	AGP transfer	2	cd_calprotectin
Christensenellaceae R-7 group sp.__Bacteroides dorei	1	0	1	102	96	0	0	36.7063393576324	0.484848484848485	1	AGP transfer	2	cd_calprotectin
Faecalibacterium prausnitzii__Butyrivibrio crossotus	1	0	1	102	96	0	0	36.7063393576324	0.484848484848485	1	AGP transfer	2	cd_calprotectin
Gemmiger sp.	1	0	1	102	96	0	0	36.7063393576324	0.484848484848485	1	AGP transfer	2	cd_calprotectin
Segatella sp.__Agathobacter faecis	1	0	1	102	96	0	0	36.7063393576324	0.484848484848485	1	AGP transfer	2	cd_calprotectin
Agathobacter faecis__Bacteroides dorei	2	2	0	102	96	Inf	0.176991859404891	Inf	0.497923396400554	1	AGP transfer	2	cd_calprotectin
Akkermansia muciniphila__Bacteroides dorei	2	2	0	102	96	Inf	0.176991859404891	Inf	0.497923396400554	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bacteroides caccae	2	2	0	102	96	Inf	0.176991859404891	Inf	0.497923396400554	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Bacteroides cellulosilyticus	2	2	0	102	96	Inf	0.176991859404891	Inf	0.497923396400554	1	AGP transfer	2	cd_calprotectin
Bacteroides dorei__Paraprevotella sp.	2	2	0	102	96	Inf	0.176991859404891	Inf	0.497923396400554	1	AGP transfer	2	cd_calprotectin
Prevotellaceae fam.__Bacteroides dorei	2	2	0	102	96	Inf	0.176991859404891	Inf	0.497923396400554	1	AGP transfer	2	cd_calprotectin
Faecalibacterium prausnitzii__Bacteroides dorei	9	6	3	102	96	1.93125518630101	0.398505690399956	12.28179582671	0.499484891354249	1	AGP transfer	2	cd_calprotectin
